"Country","DPMean","HDI"
"Puerto Rico",4.07,NA
"Panama",4,"0.788"
"Qatar",4,"0.856"
"Taiwan",4,NA
"Lithuania",3.8,"0.848"
"Macao",3.8,NA
"Sri Lanka",3.8,"0.766"
"Colombia",3.6,"0.727"
"Ecuador",3.53,"0.739"
"Bulgaria",3.4,"0.794"
"Jamaica",3.4,"0.730"
"Austria",3.33,"0.893"
"Uruguay",3.27,"0.795"
"Finland",3.25,"0.895"
"Slovenia",3.23,"0.890"
