"Country","AIPMean","HDI"
"Taiwan",4.6,NA
"Macao",4.53,NA
"Cyprus",4.4,"0.856"
"Dominican Republic",4.4,"0.722"
"Qatar",4.07,"0.856"
"Panama",4,"0.788"
"Puerto Rico",4,NA
"Iceland",3.8,"0.921"
"Ecuador",3.78,"0.739"
"Colombia",3.67,"0.727"
"Sri Lanka",3.67,"0.766"
"Turkey",3.62,"0.767"
"Uruguay",3.62,"0.795"
"Iran",3.6,"0.774"
"Poland",3.52,"0.855"
